Year	Vote from	Vote to	Point	Jury	Public
1980	Ireland	Switzerland	12		
1980	Italy	Austria	4		
1980	Italy	Germany	12		
1980	Italy	Greek	2		
1980	Italy	Ireland	1		
1980	Italy	Morocco	7		
1980	Italy	Portugal	10		
1980	Italy	Spain	6		
1980	Italy	Sweden	5		
1980	Italy	Switzerland	3		
1980	Italy	Turkey	8		
1980	Luxemburg	France	2		
1980	Luxemburg	Germany	3		
1980	Luxemburg	Great Britain	8		
1980	Luxemburg	Greek	1		
1980	Luxemburg	Ireland	7		
1980	Luxemburg	Netherlands	12		
1980	Luxemburg	Portugal	4		
1980	Luxemburg	Spain	6		
1980	Luxemburg	Sweden	10		
1980	Luxemburg	Switzerland	5		
1980	Morocco	Austria	3		
1980	Morocco	Denmark	2		
1980	Morocco	France	1		
1980	Morocco	Germany	10		
1980	Morocco	Great Britain	8		
1980	Morocco	Norway	4		
1980	Morocco	Spain	5		
1980	Morocco	Sweden	6		
1980	Morocco	Switzerland	7		
1980	Morocco	Turkey	12		
1980	Netherlands	Austria	3		
1980	Netherlands	France	4		
1980	Netherlands	Germany	12		
1980	Netherlands	Great Britain	7		
1980	Netherlands	Greek	8		
1980	Netherlands	Ireland	6		
1980	Netherlands	Italy	1		
1980	Netherlands	Norway	2		
1980	Netherlands	Portugal	5		
1980	Netherlands	Switzerland	10		
1980	Norway	Austria	6		
1980	Norway	Denmark	1		
1980	Norway	Finnland	5		
1980	Norway	France	3		
1980	Norway	Greek	4		
1980	Norway	Ireland	12		
1980	Norway	Italy	2		
1980	Norway	Luxemburg	7		
1980	Norway	Portugal	8		
1980	Norway	Switzerland	10		
1980	Portugal	Austria	3		
1980	Portugal	Belgium	10		
1980	Portugal	Germany	8		
1980	Portugal	Great Britain	7		
1980	Portugal	Greek	1		
1980	Portugal	Ireland	5		
1980	Portugal	Italy	12		
1980	Portugal	Netherlands	4		
1980	Portugal	Spain	2		
1980	Portugal	Switzerland	6		
1980	Spain	Austria	4		
1980	Spain	France	6		
1980	Spain	Germany	12		
1980	Spain	Great Britain	8		
1980	Spain	Ireland	7		
1980	Spain	Italy	10		
1980	Spain	Luxemburg	3		
1980	Spain	Netherlands	5		
1980	Spain	Sweden	1		
1980	Spain	Switzerland	2		
1980	Sweden	Austria	1		
1980	Sweden	France	4		
1980	Sweden	Germany	5		
1980	Sweden	Great Britain	12		
1980	Sweden	Ireland	7		
1980	Sweden	Italy	10		
1980	Sweden	Luxemburg	6		
1980	Sweden	Netherlands	3		
1980	Sweden	Portugal	8		
1980	Sweden	Switzerland	2		
1980	Switzerland	Austria	4		
1980	Switzerland	Denmark	6		
1980	Switzerland	France	1		
1980	Switzerland	Germany	7		
1980	Switzerland	Great Britain	10		
1980	Switzerland	Ireland	12		
1980	Switzerland	Italy	8		
1980	Switzerland	Netherlands	3		
1980	Switzerland	Portugal	2		
1980	Switzerland	Sweden	5		
1980	Turkey	France	3		
1980	Turkey	Germany	10		
1980	Turkey	Great Britain	5		
1980	Turkey	Italy	6		
1980	Turkey	Luxemburg	1		
1980	Turkey	Netherlands	12		
1980	Turkey	Portugal	4		
1980	Turkey	Spain	7		
1980	Turkey	Sweden	8		
1980	Turkey	Switzerland	2		
1981	Austria	Belgium	1		
1981	Austria	France	12		
1981	Austria	Germany	5		
1981	Austria	Great Britain	4		
1981	Austria	Greek	6		
1981	Austria	Ireland	7		
1981	Austria	Israel	8		
1981	Austria	Luxemburg	10		
1981	Austria	Netherlands	3		
1981	Austria	Switzerland	2		
1981	Belgium	Cyprus	7		
1981	Belgium	Denmark	12		
1981	Belgium	France	3		
1981	Belgium	Germany	10		
1981	Belgium	Great Britain	8		
1981	Belgium	Greek	6		
1981	Belgium	Ireland	1		
1981	Belgium	Netherlands	2		
1981	Belgium	Sweden	4		
1981	Belgium	Yugoslavia	5		
1981	Cyprus	Belgium	5		
1981	Cyprus	France	7		
1981	Cyprus	Germany	8		
1981	Cyprus	Great Britain	4		
1981	Cyprus	Greek	6		
1981	Cyprus	Ireland	12		
1981	Cyprus	Netherlands	2		
1981	Cyprus	Sweden	1		
1981	Cyprus	Switzerland	10		
1981	Cyprus	Yugoslavia	3		
1981	Denmark	Austria	1		
1981	Denmark	Belgium	6		
1981	Denmark	Cyprus	3		
1981	Denmark	France	2		
1981	Denmark	Germany	8		
1981	Denmark	Great Britain	10		
1981	Denmark	Ireland	12		
1981	Denmark	Netherlands	7		
1981	Denmark	Sweden	5		
1981	Denmark	Switzerland	4		
1981	Finnland	Belgium	2		
1981	Finnland	France	10		
1981	Finnland	Germany	7		
1981	Finnland	Great Britain	3		
1981	Finnland	Israel	6		
1981	Finnland	Luxemburg	4		
1981	Finnland	Sweden	1		
1981	Finnland	Switzerland	12		
1981	Finnland	Turkey	5		
1981	Finnland	Yugoslavia	8		
1981	France	Austria	5		
1981	France	Denmark	4		
1981	France	Finnland	1		
1981	France	Germany	8		
1981	France	Great Britain	7		
1981	France	Ireland	6		
1981	France	Luxemburg	3		
1981	France	Netherlands	2		
1981	France	Sweden	12		
1981	France	Switzerland	10		
1981	Germany	Denmark	1		
1981	Germany	France	12		
1981	Germany	Great Britain	4		
1981	Germany	Greek	2		
1981	Germany	Ireland	6		
1981	Germany	Luxemburg	5		
1981	Germany	Netherlands	3		
1981	Germany	Portugal	8		
1981	Germany	Sweden	10		
1981	Germany	Switzerland	7		
1981	Great Britain	Belgium	3		
1981	Great Britain	Cyprus	10		
1981	Great Britain	Denmark	5		
1981	Great Britain	France	1		
1981	Great Britain	Germany	7		
1981	Great Britain	Greek	8		
1981	Great Britain	Israel	4		
1981	Great Britain	Netherlands	6		
1981	Great Britain	Sweden	2		
1981	Great Britain	Switzerland	12		
1981	Greek	Belgium	7		
1981	Greek	Cyprus	12		
1981	Greek	France	8		
1981	Greek	Germany	5		
1981	Greek	Great Britain	6		
1981	Greek	Ireland	10		
1981	Greek	Netherlands	3		
1981	Greek	Portugal	1		
1981	Greek	Switzerland	4		
1981	Greek	Yugoslavia	2		
1981	Ireland	Cyprus	8		
1981	Ireland	Finnland	5		
1981	Ireland	France	4		
1981	Ireland	Germany	6		
1981	Ireland	Great Britain	10		
1981	Ireland	Greek	1		
1981	Ireland	Israel	7		
1981	Ireland	Spain	3		
1981	Ireland	Switzerland	12		
1981	Ireland	Yugoslavia	2		
1981	Israel	Belgium	1		
1981	Israel	Cyprus	5		
1981	Israel	Finnland	2		
1981	Israel	France	7		
1981	Israel	Germany	8		
1981	Israel	Great Britain	12		
1981	Israel	Ireland	10		
1981	Israel	Luxemburg	3		
1981	Israel	Netherlands	4		
1981	Israel	Spain	6		
1981	Luxemburg	Denmark	7		
1981	Luxemburg	France	12		
1981	Luxemburg	Germany	3		
1981	Luxemburg	Great Britain	5		
1981	Luxemburg	Greek	6		
1981	Luxemburg	Ireland	10		
1981	Luxemburg	Israel	4		
1981	Luxemburg	Sweden	2		
1981	Luxemburg	Switzerland	8		
1981	Luxemburg	Turkey	1		
1981	Netherlands	Cyprus	8		
1981	Netherlands	Denmark	2		
1981	Netherlands	Finnland	5		
1981	Netherlands	France	6		
1981	Netherlands	Germany	3		
1981	Netherlands	Great Britain	12		
1981	Netherlands	Ireland	10		
1981	Netherlands	Israel	7		
1981	Netherlands	Spain	4		
1981	Netherlands	Switzerland	1		
1981	Norway	Cyprus	7		
1981	Norway	France	5		
1981	Norway	Germany	4		
1981	Norway	Great Britain	3		
1981	Norway	Greek	2		
1981	Norway	Israel	8		
1981	Norway	Spain	10		
1981	Norway	Sweden	6		
1981	Norway	Switzerland	12		
1981	Norway	Yugoslavia	1		
1981	Portugal	Denmark	2		
1981	Portugal	Finnland	1		
1981	Portugal	France	10		
1981	Portugal	Germany	12		
1981	Portugal	Great Britain	6		
1981	Portugal	Israel	5		
1981	Portugal	Luxemburg	4		
1981	Portugal	Netherlands	7		
1981	Portugal	Spain	3		
1981	Portugal	Switzerland	8		
1981	Spain	Austria	6		
1981	Spain	Denmark	3		
1981	Spain	Finnland	2		
1981	Spain	Germany	12		
1981	Spain	Great Britain	8		
1981	Spain	Greek	10		
1981	Spain	Ireland	5		
1981	Spain	Luxemburg	1		
1981	Spain	Netherlands	7		
1981	Spain	Switzerland	4		
1981	Sweden	Austria	2		
1981	Sweden	Denmark	4		
1981	Sweden	Finnland	6		
1981	Sweden	France	10		
1981	Sweden	Germany	12		
1981	Sweden	Great Britain	8		
1981	Sweden	Ireland	7		
1981	Sweden	Israel	3		
1981	Sweden	Luxemburg	5		
1981	Sweden	Switzerland	1		
1981	Switzerland	Cyprus	3		
1981	Switzerland	Finnland	5		
1981	Switzerland	France	12		
1981	Switzerland	Great Britain	8		
1981	Switzerland	Greek	7		
1981	Switzerland	Ireland	1		
1981	Switzerland	Israel	4		
1981	Switzerland	Luxemburg	6		
1981	Switzerland	Spain	2		
1981	Switzerland	Yugoslavia	10		
1981	Turkey	Austria	6		
1981	Turkey	Belgium	7		
1981	Turkey	Denmark	1		
1981	Turkey	Germany	12		
1981	Turkey	Great Britain	8		
1981	Turkey	Ireland	3		
1981	Turkey	Netherlands	5		
1981	Turkey	Spain	10		
1981	Turkey	Switzerland	2		
1981	Turkey	Yugoslavia	4		
1981	Yugoslavia	Belgium	8		
1981	Yugoslavia	Cyprus	6		
1981	Yugoslavia	France	4		
1981	Yugoslavia	Germany	2		
1981	Yugoslavia	Great Britain	10		
1981	Yugoslavia	Greek	1		
1981	Yugoslavia	Ireland	5		
1981	Yugoslavia	Sweden	7		
1981	Yugoslavia	Switzerland	12		
1981	Yugoslavia	Turkey	3		
1982	Austria	Belgium	4		
1982	Austria	Cyprus	5		
1982	Austria	Germany	1		
1982	Austria	Great Britain	12		
1982	Austria	Israel	7		
1982	Austria	Luxemburg	2		
1982	Austria	Norway	6		
1982	Austria	Sweden	8		
1982	Austria	Switzerland	10		
1982	Austria	Turkey	3		
1982	Belgium	Austria	6		
1982	Belgium	Cyprus	3		
1982	Belgium	Germany	10		
1982	Belgium	Israel	7		
1982	Belgium	Luxemburg	8		
1982	Belgium	Norway	2		
1982	Belgium	Spain	4		
1982	Belgium	Sweden	5		
1982	Belgium	Switzerland	12		
1982	Belgium	Yugoslavia	1		
1982	Cyprus	Austria	7		
1982	Cyprus	Belgium	8		
1982	Cyprus	Germany	12		
1982	Cyprus	Great Britain	3		
1982	Cyprus	Ireland	5		
1982	Cyprus	Israel	2		
1982	Cyprus	Norway	4		
1982	Cyprus	Spain	10		
1982	Cyprus	Switzerland	6		
1982	Cyprus	Yugoslavia	1		
1982	Denmark	Austria	6		
1982	Denmark	Belgium	10		
1982	Denmark	Germany	12		
1982	Denmark	Great Britain	2		
1982	Denmark	Ireland	5		
1982	Denmark	Israel	1		
1982	Denmark	Luxemburg	4		
1982	Denmark	Sweden	8		
1982	Denmark	Switzerland	7		
1982	Denmark	Yugoslavia	3		
1982	Finnland	Belgium	5		
1982	Finnland	Cyprus	8		
1982	Finnland	Germany	10		
1982	Finnland	Great Britain	4		
1982	Finnland	Israel	12		
1982	Finnland	Luxemburg	7		
1982	Finnland	Portugal	2		
1982	Finnland	Spain	6		
1982	Finnland	Sweden	3		
1982	Finnland	Turkey	1		
1982	Germany	Belgium	4		
1982	Germany	Cyprus	6		
1982	Germany	Great Britain	1		
1982	Germany	Ireland	3		
1982	Germany	Israel	12		
1982	Germany	Luxemburg	8		
1982	Germany	Netherlands	5		
1982	Germany	Norway	10		
1982	Germany	Spain	7		
1982	Germany	Sweden	2		
1982	Great Britain	Austria	10		
1982	Great Britain	Belgium	2		
1982	Great Britain	Cyprus	3		
1982	Great Britain	Germany	8		
1982	Great Britain	Ireland	7		
1982	Great Britain	Israel	1		
1982	Great Britain	Luxemburg	6		
1982	Great Britain	Portugal	4		
1982	Great Britain	Sweden	5		
1982	Great Britain	Switzerland	12		
1982	Ireland	Austria	5		
1982	Ireland	Belgium	4		
1982	Ireland	Denmark	1		
1982	Ireland	Germany	12		
1982	Ireland	Great Britain	7		
1982	Ireland	Luxemburg	10		
1982	Ireland	Norway	6		
1982	Ireland	Portugal	2		
1982	Ireland	Sweden	3		
1982	Ireland	Switzerland	8		
1982	Israel	Austria	4		
1982	Israel	Belgium	6		
1982	Israel	Cyprus	7		
1982	Israel	Germany	12		
1982	Israel	Great Britain	2		
1982	Israel	Ireland	3		
1982	Israel	Luxemburg	5		
1982	Israel	Portugal	1		
1982	Israel	Spain	8		
1982	Israel	Switzerland	10		
1982	Luxemburg	Belgium	5		
1982	Luxemburg	Cyprus	4		
1982	Luxemburg	Great Britain	12		
1982	Luxemburg	Israel	10		
1982	Luxemburg	Norway	6		
1982	Luxemburg	Portugal	7		
1982	Luxemburg	Spain	1		
1982	Luxemburg	Sweden	3		
1982	Luxemburg	Switzerland	2		
1982	Luxemburg	Turkey	8		
1982	Netherlands	Belgium	3		
1982	Netherlands	Cyprus	12		
1982	Netherlands	Germany	6		
1982	Netherlands	Great Britain	1		
1982	Netherlands	Israel	8		
1982	Netherlands	Luxemburg	7		
1982	Netherlands	Portugal	4		
1982	Netherlands	Sweden	5		
1982	Netherlands	Switzerland	10		
1982	Netherlands	Turkey	2		
1982	Norway	Belgium	5		
1982	Norway	Cyprus	12		
1982	Norway	Germany	10		
1982	Norway	Great Britain	6		
1982	Norway	Ireland	2		
1982	Norway	Israel	1		
1982	Norway	Luxemburg	7		
1982	Norway	Sweden	8		
1982	Norway	Switzerland	4		
1982	Norway	Turkey	3		
1982	Portugal	Belgium	8		
1982	Portugal	Cyprus	5		
1982	Portugal	Denmark	3		
1982	Portugal	Germany	12		
1982	Portugal	Great Britain	4		
1982	Portugal	Ireland	1		
1982	Portugal	Israel	10		
1982	Portugal	Luxemburg	6		
1982	Portugal	Sweden	7		
1982	Portugal	Switzerland	2		
1982	Spain	Austria	8		
1982	Spain	Belgium	10		
1982	Spain	Cyprus	7		
1982	Spain	Germany	12		
1982	Spain	Great Britain	1		
1982	Spain	Ireland	3		
1982	Spain	Israel	6		
1982	Spain	Luxemburg	5		
1982	Spain	Norway	2		
1982	Spain	Sweden	4		
1982	Sweden	Belgium	7		
1982	Sweden	Denmark	1		
1982	Sweden	Germany	8		
1982	Sweden	Ireland	5		
1982	Sweden	Israel	10		
1982	Sweden	Netherlands	3		
1982	Sweden	Norway	4		
1982	Sweden	Portugal	6		
1982	Sweden	Switzerland	2		
1982	Sweden	Yugoslavia	12		
1982	Switzerland	Belgium	2		
1982	Switzerland	Cyprus	8		
1982	Switzerland	Germany	12		
1982	Switzerland	Great Britain	5		
1982	Switzerland	Ireland	6		
1982	Switzerland	Israel	10		
1982	Switzerland	Portugal	1		
1982	Switzerland	Spain	7		
1982	Switzerland	Sweden	4		
1982	Switzerland	Turkey	3		
1982	Turkey	Austria	7		
1982	Turkey	Belgium	6		
1982	Turkey	Germany	12		
1982	Turkey	Great Britain	10		
1982	Turkey	Ireland	1		
1982	Turkey	Luxemburg	3		
1982	Turkey	Portugal	5		
1982	Turkey	Spain	8		
1982	Turkey	Switzerland	2		
1982	Turkey	Yugoslavia	4		
1982	Yugoslavia	Austria	4		
1982	Yugoslavia	Belgium	7		
1982	Yugoslavia	Cyprus	5		
1982	Yugoslavia	Germany	12		
1982	Yugoslavia	Great Britain	6		
1982	Yugoslavia	Ireland	8		
1982	Yugoslavia	Israel	3		
1982	Yugoslavia	Spain	1		
1982	Yugoslavia	Sweden	2		
1982	Yugoslavia	Switzerland	10		
1983	Austria	Finnland	2		
1983	Austria	Germany	7		
1983	Austria	Great Britain	10		
1983	Austria	Israel	12		
1983	Austria	Luxemburg	5		
1983	Austria	Netherlands	4		
1983	Austria	Norway	3		
1983	Austria	Sweden	8		
1983	Austria	Switzerland	6		
1983	Austria	Yugoslavia	1		
1983	Belgium	Austria	3		
1983	Belgium	Cyprus	4		
1983	Belgium	Germany	6		
1983	Belgium	Israel	10		
1983	Belgium	Luxemburg	8		
1983	Belgium	Netherlands	2		
1983	Belgium	Norway	7		
1983	Belgium	Sweden	5		
1983	Belgium	Switzerland	1		
1983	Belgium	Yugoslavia	12		
1983	Cyprus	Austria	3		
1983	Cyprus	Denmark	2		
1983	Cyprus	France	4		
1983	Cyprus	Great Britain	6		
1983	Cyprus	Greek	12		
1983	Cyprus	Italy	1		
1983	Cyprus	Luxemburg	10		
1983	Cyprus	Netherlands	5		
1983	Cyprus	Sweden	7		
1983	Cyprus	Yugoslavia	8		
1983	Denmark	Austria	6		
1983	Denmark	Cyprus	1		
1983	Denmark	Germany	3		
1983	Denmark	Great Britain	5		
1983	Denmark	Israel	7		
1983	Denmark	Luxemburg	2		
1983	Denmark	Netherlands	4		
1983	Denmark	Norway	8		
1983	Denmark	Sweden	10		
1983	Denmark	Yugoslavia	12		
1983	Finnland	France	6		
1983	Finnland	Germany	4		
1983	Finnland	Greek	5		
1983	Finnland	Israel	7		
1983	Finnland	Italy	1		
1983	Finnland	Luxemburg	8		
1983	Finnland	Netherlands	3		
1983	Finnland	Portugal	2		
1983	Finnland	Sweden	10		
1983	Finnland	Yugoslavia	12		
1983	France	Finnland	1		
1983	France	Germany	10		
1983	France	Great Britain	5		
1983	France	Greek	3		
1983	France	Israel	8		
1983	France	Italy	7		
1983	France	Luxemburg	12		
1983	France	Netherlands	2		
1983	France	Portugal	4		
1983	France	Sweden	6		
1983	Germany	Cyprus	5		
1983	Germany	Finnland	7		
1983	Germany	France	4		
1983	Germany	Great Britain	3		
1983	Germany	Israel	10		
1983	Germany	Luxemburg	8		
1983	Germany	Netherlands	2		
1983	Germany	Norway	1		
1983	Germany	Sweden	12		
1983	Germany	Yugoslavia	6		
1983	Great Britain	Austria	3		
1983	Great Britain	Belgium	4		
1983	Great Britain	Denmark	2		
1983	Great Britain	Finnland	6		
1983	Great Britain	Germany	7		
1983	Great Britain	Israel	10		
1983	Great Britain	Netherlands	1		
1983	Great Britain	Norway	5		
1983	Great Britain	Sweden	8		
1983	Great Britain	Yugoslavia	12		
1983	Greek	Austria	4		
1983	Greek	Finnland	8		
1983	Greek	France	7		
1983	Greek	Germany	1		
1983	Greek	Great Britain	5		
1983	Greek	Israel	3		
1983	Greek	Italy	2		
1983	Greek	Luxemburg	12		
1983	Greek	Sweden	10		
1983	Greek	Yugoslavia	6		
1983	Israel	Austria	2		
1983	Israel	Cyprus	5		
1983	Israel	Finnland	7		
1983	Israel	France	1		
1983	Israel	Italy	6		
1983	Israel	Luxemburg	12		
1983	Israel	Netherlands	3		
1983	Israel	Norway	4		
1983	Israel	Sweden	8		
1983	Israel	Yugoslavia	10		
1983	Italy	Austria	5		
1983	Italy	France	10		
1983	Italy	Germany	6		
1983	Italy	Great Britain	2		
1983	Italy	Israel	3		
1983	Italy	Luxemburg	12		
1983	Italy	Netherlands	4		
1983	Italy	Sweden	8		
1983	Italy	Switzerland	7		
1983	Italy	Yugoslavia	1		
1983	Luxemburg	Finnland	1		
1983	Luxemburg	France	3		
1983	Luxemburg	Germany	12		
1983	Luxemburg	Great Britain	6		
1983	Luxemburg	Israel	10		
1983	Luxemburg	Netherlands	4		
1983	Luxemburg	Norway	2		
1983	Luxemburg	Portugal	7		
1983	Luxemburg	Switzerland	5		
1983	Luxemburg	Yugoslavia	8		
1983	Netherlands	Austria	4		
1983	Netherlands	France	2		
1983	Netherlands	Germany	10		
1983	Netherlands	Great Britain	5		
1983	Netherlands	Israel	12		
1983	Netherlands	Luxemburg	1		
1983	Netherlands	Norway	8		
1983	Netherlands	Portugal	6		
1983	Netherlands	Sweden	3		
1983	Netherlands	Yugoslavia	7		
1983	Norway	Cyprus	4		
1983	Norway	Finnland	2		
1983	Norway	France	3		
1983	Norway	Germany	10		
1983	Norway	Great Britain	5		
1983	Norway	Israel	6		
1983	Norway	Netherlands	7		
1983	Norway	Sweden	12		
1983	Norway	Switzerland	1		
1983	Norway	Yugoslavia	8		
1983	Portugal	Austria	5		
1983	Portugal	Belgium	1		
1983	Portugal	France	3		
1983	Portugal	Germany	8		
1983	Portugal	Great Britain	2		
1983	Portugal	Israel	10		
1983	Portugal	Italy	7		
1983	Portugal	Luxemburg	12		
1983	Portugal	Norway	6		
1983	Portugal	Sweden	4		
1983	Spain	Belgium	8		
1983	Spain	Denmark	4		
1983	Spain	Greek	12		
1983	Spain	Israel	6		
1983	Spain	Italy	3		
1983	Spain	Luxemburg	7		
1983	Spain	Portugal	5		
1983	Spain	Sweden	2		
1983	Spain	Switzerland	1		
1983	Spain	Yugoslavia	10		
1983	Sweden	Austria	4		
1983	Sweden	Denmark	7		
1983	Sweden	Germany	8		
1983	Sweden	Great Britain	12		
1983	Sweden	Israel	5		
1983	Sweden	Italy	2		
1983	Sweden	Luxemburg	10		
1983	Sweden	Netherlands	6		
1983	Sweden	Norway	3		
1983	Sweden	Portugal	1		
1983	Switzerland	Cyprus	1		
1983	Switzerland	Finnland	4		
1983	Switzerland	France	10		
1983	Switzerland	Germany	2		
1983	Switzerland	Great Britain	8		
1983	Switzerland	Israel	7		
1983	Switzerland	Luxemburg	3		
1983	Switzerland	Netherlands	12		
1983	Switzerland	Portugal	6		
1983	Switzerland	Sweden	5		
1983	Turkey	Austria	10		
1983	Turkey	Denmark	1		
1983	Turkey	Finnland	3		
1983	Turkey	Great Britain	5		
1983	Turkey	Italy	4		
1983	Turkey	Luxemburg	8		
1983	Turkey	Netherlands	2		
1983	Turkey	Norway	6		
1983	Turkey	Sweden	7		
1983	Turkey	Yugoslavia	12		
1983	Yugoslavia	Austria	4		
1983	Yugoslavia	Cyprus	6		
1983	Yugoslavia	France	3		
1983	Yugoslavia	Israel	10		
1983	Yugoslavia	Italy	8		
1983	Yugoslavia	Luxemburg	12		
1983	Yugoslavia	Netherlands	5		
1983	Yugoslavia	Portugal	2		
1983	Yugoslavia	Sweden	1		
1983	Yugoslavia	Switzerland	7		
1984	Austria	Belgium	3		
1984	Austria	Denmark	4		
1984	Austria	Finnland	5		
1984	Austria	France	8		
1984	Austria	Germany	1		
1984	Austria	Great Britain	2		
1984	Austria	Ireland	10		
1984	Austria	Italy	7		
1984	Austria	Spain	6		
1984	Austria	Sweden	12		
1984	Belgium	Denmark	8		
1984	Belgium	France	10		
1984	Belgium	Germany	6		
1984	Belgium	Great Britain	2		
1984	Belgium	Ireland	12		
1984	Belgium	Norway	1		
1984	Belgium	Spain	3		
1984	Belgium	Sweden	7		
1984	Belgium	Switzerland	5		
1984	Belgium	Turkey	4		
1984	Cyprus	Denmark	5		
1984	Cyprus	Finnland	4		
1984	Cyprus	France	3		
1984	Cyprus	Great Britain	2		
1984	Cyprus	Ireland	10		
1984	Cyprus	Luxemburg	7		
1984	Cyprus	Spain	6		
1984	Cyprus	Sweden	12		
1984	Cyprus	Switzerland	1		
1984	Cyprus	Yugoslavia	8		
1984	Denmark	Austria	4		
1984	Denmark	Cyprus	10		
1984	Denmark	Finnland	6		
1984	Denmark	Germany	2		
1984	Denmark	Great Britain	1		
1984	Denmark	Ireland	3		
1984	Denmark	Luxemburg	5		
1984	Denmark	Spain	7		
1984	Denmark	Sweden	12		
1984	Denmark	Switzerland	8		
1984	Finnland	Belgium	10		
1984	Finnland	Denmark	5		
1984	Finnland	Great Britain	4		
1984	Finnland	Ireland	7		
1984	Finnland	Italy	12		
1984	Finnland	Norway	6		
1984	Finnland	Sweden	8		
1984	Finnland	Switzerland	1		
1984	Finnland	Turkey	3		
1984	Finnland	Yugoslavia	2		
1984	France	Belgium	12		
1984	France	Cyprus	1		
1984	France	Denmark	8		
1984	France	Finnland	5		
1984	France	Germany	4		
1984	France	Ireland	3		
1984	France	Netherlands	7		
1984	France	Spain	10		
1984	France	Sweden	6		
1984	France	Yugoslavia	2		
1984	Germany	Belgium	4		
1984	Germany	Denmark	5		
1984	Germany	Finnland	1		
1984	Germany	Great Britain	7		
1984	Germany	Ireland	10		
1984	Germany	Italy	6		
1984	Germany	Norway	2		
1984	Germany	Portugal	8		
1984	Germany	Sweden	12		
1984	Germany	Yugoslavia	3		
1984	Great Britain	Denmark	12		
1984	Great Britain	France	6		
1984	Great Britain	Germany	2		
1984	Great Britain	Ireland	8		
1984	Great Britain	Netherlands	1		
1984	Great Britain	Spain	4		
1984	Great Britain	Sweden	7		
1984	Great Britain	Switzerland	10		
1984	Great Britain	Turkey	5		
1984	Great Britain	Yugoslavia	3		
1984	Ireland	Austria	1		
1984	Ireland	Cyprus	4		
1984	Ireland	Denmark	10		
1984	Ireland	Great Britain	8		
1984	Ireland	Luxemburg	5		
1984	Ireland	Netherlands	6		
1984	Ireland	Norway	3		
1984	Ireland	Spain	7		
1984	Ireland	Sweden	12		
1984	Ireland	Turkey	2		
1984	Italy	Belgium	1		
1984	Italy	Denmark	5		
1984	Italy	France	7		
1984	Italy	Germany	2		
1984	Italy	Great Britain	10		
1984	Italy	Ireland	12		
1984	Italy	Luxemburg	3		
1984	Italy	Spain	8		
1984	Italy	Sweden	6		
1984	Italy	Switzerland	4		
1984	Luxemburg	Belgium	12		
1984	Luxemburg	Denmark	3		
1984	Luxemburg	Great Britain	1		
1984	Luxemburg	Ireland	5		
1984	Luxemburg	Italy	10		
1984	Luxemburg	Netherlands	2		
1984	Luxemburg	Norway	7		
1984	Luxemburg	Portugal	4		
1984	Luxemburg	Spain	8		
1984	Luxemburg	Sweden	6		
1984	Netherlands	Belgium	8		
1984	Netherlands	Denmark	3		
1984	Netherlands	France	12		
1984	Netherlands	Germany	5		
1984	Netherlands	Great Britain	4		
1984	Netherlands	Ireland	7		
1984	Netherlands	Portugal	6		
1984	Netherlands	Spain	2		
1984	Netherlands	Sweden	10		
1984	Netherlands	Turkey	1		
1984	Norway	Belgium	3		
1984	Norway	Denmark	12		
1984	Norway	Finnland	5		
1984	Norway	France	2		
1984	Norway	Germany	7		
1984	Norway	Great Britain	8		
1984	Norway	Ireland	4		
1984	Norway	Italy	1		
1984	Norway	Spain	6		
1984	Norway	Sweden	10		
1984	Portugal	Belgium	10		
1984	Portugal	Denmark	1		
1984	Portugal	Finnland	3		
1984	Portugal	France	7		
1984	Portugal	Germany	5		
1984	Portugal	Great Britain	6		
1984	Portugal	Ireland	2		
1984	Portugal	Italy	8		
1984	Portugal	Spain	12		
1984	Portugal	Sweden	4		
1984	Spain	Belgium	2		
1984	Spain	Denmark	6		
1984	Spain	Finnland	1		
1984	Spain	Great Britain	3		
1984	Spain	Ireland	10		
1984	Spain	Italy	12		
1984	Spain	Luxemburg	7		
1984	Spain	Netherlands	8		
1984	Spain	Portugal	5		
1984	Spain	Sweden	4		
1984	Sweden	Cyprus	4		
1984	Sweden	Denmark	5		
1984	Sweden	Finnland	7		
1984	Sweden	France	2		
1984	Sweden	Great Britain	3		
1984	Sweden	Ireland	12		
1984	Sweden	Norway	8		
1984	Sweden	Spain	10		
1984	Sweden	Switzerland	1		
1984	Sweden	Turkey	6		
1984	Switzerland	Denmark	1		
1984	Switzerland	France	4		
1984	Switzerland	Ireland	12		
1984	Switzerland	Italy	7		
1984	Switzerland	Netherlands	5		
1984	Switzerland	Norway	2		
1984	Switzerland	Portugal	8		
1984	Switzerland	Spain	3		
1984	Switzerland	Sweden	10		
1984	Switzerland	Turkey	6		
1984	Turkey	Belgium	5		
1984	Turkey	Denmark	2		
1984	Turkey	Finnland	6		
1984	Turkey	Great Britain	1		
1984	Turkey	Ireland	10		
1984	Turkey	Italy	7		
1984	Turkey	Luxemburg	4		
1984	Turkey	Spain	12		
1984	Turkey	Sweden	3		
1984	Turkey	Yugoslavia	8		
1984	Yugoslavia	Cyprus	12		
1984	Yugoslavia	Denmark	6		
1984	Yugoslavia	Finnland	3		
1984	Yugoslavia	Great Britain	1		
1984	Yugoslavia	Luxemburg	8		
1984	Yugoslavia	Netherlands	5		
1984	Yugoslavia	Portugal	7		
1984	Yugoslavia	Spain	2		
